0,1,topic
POSITIVE,76.28205128205127,['topic_0']
NEGATIVE,23.717948717948715,['topic_0']
POSITIVE,63.366336633663366,['topic_1']
NEGATIVE,36.633663366336634,['topic_1']
POSITIVE,51.11111111111111,['topic_2']
NEGATIVE,48.888888888888886,['topic_2']
POSITIVE,87.5,['topic_3']
NEGATIVE,12.5,['topic_3']
NEGATIVE,25.0,['topic_4']
POSITIVE,75.0,['topic_4']
POSITIVE,82.97872340425532,['topic_5']
NEGATIVE,17.02127659574468,['topic_5']
NEGATIVE,82.97872340425532,['topic_6']
POSITIVE,17.02127659574468,['topic_6']
POSITIVE,68.88888888888889,['topic_8']
NEGATIVE,31.11111111111111,['topic_8']
POSITIVE,68.18181818181817,['topic_9']
NEGATIVE,31.818181818181817,['topic_9']
NEGATIVE,26.190476190476193,['topic_10']
POSITIVE,73.80952380952381,['topic_10']
POSITIVE,60.97560975609756,['topic_12']
NEGATIVE,39.02439024390244,['topic_12']
POSITIVE,51.35135135135135,['topic_14']
NEGATIVE,48.64864864864865,['topic_14']
